key,red0,red1,red2,blue0,blue1,blue2
1,9988,5572,9997,9105,5431,8879
2,1745,418,2848,1296,9999,9991
3,6171,5414,3310,8874,9993,2583
4,6800,5212,4610,5411,2714,4192
5,6369,6377,9997,9992,2881,9991
6,2583,1296,6171,5572,9105,2848
7,9999,6800,8874,3310,9988,8879
8,9992,6377,2714,5431,1745,5414
9,9993,6369,2881,4610,4192,418
10,9991,9105,5411,5212,9999,3310
11,6377,1296,5572,2714,9997,6800
12,8879,8874,4610,418,9992,9993
13,4192,9988,6369,5414,2848,2583
14,2881,5411,5431,6171,1745,5212
15,3310,2714,9105,9997,8874,418
16,2583,4610,5572,6800,9991,6377
17,9999,5431,6171,4192,2881,1296
18,5411,9992,1745,9993,2848,9988
19,2714,5212,5414,8879,6369,6800
20,9991,3310,8874,5431,4192,6377
21,9997,6171,9993,9988,4610,9999
22,5212,418,2881,5414,5572,9992
23,1296,8879,1745,6369,2583,5411
24,2848,6800,5431,4610,9993,9105
25,418,9991,2714,2881,6171,9988
26,5572,5411,9999,8874,5414,6369
27,1745,2583,4192,9105,9997,9992
28,2848,3310,1296,6377,8879,5212
