number,name,avg_total_score,avg_contribution,cooperation_score,ranking_point,projected_ranking_points,avg_teleop_amplifier_count,speaker_count,avg_driving_score,avg_teleop_pass_count
118,Robonauts,37.25,56.988455378983865,3.6,37,40,2,6.5,21.75,17
3005,RoboChargers,52.83333333333333,70.88550271602328,6.252173913043478,37,40,4.666666666666666,8.333333333333332,19.166666666666668,6
9128,ITKAN Robotics,56,64.89305517395405,16.15,31,34,2.333333333333333,10.333333333333332,15.166666666666668,12
4639,The RoboSpartans,28.666666666666664,49.626938664172705,1.36,30,33,0.33333333333333337,9,5,0
2582,PantherBots,33.714285714285715,50.666758285805905,0,29,32,2.571428571428571,5.142857142857143,12.428571428571429,5
3676,Redshift Robotics,45.8,64.38878988878989,0,29,32,5.4,4.8,22.4,1
6672,Fusion Corps,52.57142857142857,63.343649219603165,0,31,32,5,9.285714285714286,16.42857142857143,7
7312,T3,28.666666666666664,53.33333333333333,0,28,31,2.666666666666667,6,7,0
2468,Team Appreciate,33.16666666666667,43.69087506187528,13.391666666666667,28,30,1.3333333333333333,6.166666666666666,12.666666666666668,17
9136,Rampage,24.4,43.91633728590251,0,28,29,0.2,6.8,6.4,3
231,High Voltage,34,49.02146370731804,0,27,28,3,6.5,12,3
6377,Howdy Bots,42.5,57.34847147906576,7.976923076923077,26,27,2.333333333333333,8.5,10.333333333333334,2
8576,Golden Warriors Robotics,27.166666666666664,38.68447095226718,0.6347826086956522,23,26,1.3333333333333333,5.5,8.5,15
9105,TechnoTalons,39.5,62.659464752554626,0,23,26,3.333333333333333,6.666666666666666,15.166666666666668,10
9140,The Robobots,48.5,65.7170705514311,0.7142857142857143,25,26,0,13.75,12,0
9752,ITKAN Robotics Jr,42.714285714285715,60.19756728394345,8.1,23,26,4.714285714285714,7.7142857142857135,10.571428571428571,2
5892,Energy HEROs,27,46.92586225147191,0,19,22,0,2.6666666666666665,20,8
6357,The Spring Konstant,23,42.582423921926825,0,19,22,0,5.5,8.5,4
5829,AwtyBots,19.857142857142858,31.95380457802818,0,20,21,4,3.2857142857142856,3.4285714285714284,0
5411,RoboTalons,29.714285714285715,52.7178493526582,0,19,20,0.8571428571428572,7.2857142857142865,9.428571428571429,10
7616,Cerberus,28.833333333333332,44.89643740420138,5.733333333333333,19,19,2.166666666666667,4.833333333333333,5.5,10
3561,RoboRaiders,21.4,37.87701704488125,0,18,18,0.4,5,6.4,0
3735,VorTX,27,43.90412364693397,3,15,18,1.4285714285714286,5.142857142857143,9.142857142857144,8
9478,Robo-Colts,25.2,44.94936690567276,0,17,18,0,7.4,10,0
9492,LadyTalons,23.5,41.847080618487674,0,17,18,1.6666666666666667,5.333333333333334,8.5,5
4641,TALON Inc.,23.5,48.77259140230838,0,14,17,0.25,3.5,16.75,1
8370,Glow With The Flow,25.666666666666664,44.757945474693955,0,16,17,0.16666666666666666,7.333333333333333,5.333333333333333,0
8507,Jagwire Robotics,19.8,32.94316794316794,0,15,16,0,3.2,7,4
8598,Electro-Knights,14.8,32.56698907850982,0,15,16,0.6,4.6,3.6,2
2158,the ausTIN CANs,6.75,18.544991134751772,0,13,15,0,2,1.75,0
8019,Patriot Engineering,21.833333333333336,37.160996474568854,0,11,14,0.6666666666666667,7,3.666666666666667,0
8732,Trinity Force,18.857142857142858,39.26220367502085,0,12,14,0,3.571428571428571,6.571428571428571,8
3035,Droid Rage,28.6,45.532471704173986,0,12,13,1.8,5.8,7.2,0
9407,Heatwave Robotics,17,29.885493472449994,0,12,13,0,3.5,3.75,0
5103,Jaegernauts,13.6,33.64275964275964,0,11,12,0,2.6,4,0
5503,Smithville Tiger Trons,19.75,36.63903334189351,2.3,12,12,0.75,4.5,4.25,5
